,Name,Seller,Color,Device_and_App_History,Contacts,Identity,Location,Phone,Photos_Media_Files,Storage,Camera,Microphone,Wi_Fi,DeviceID,Wearable,Calendar,Other,SMS,Permission Score
5,SYLVANIA SMART Home Application,LEDVANCE LLC,A,5.00,5.00,5.00,10.00,5.00,10.00,10.00,5.00,5.00,5.00,5.00,5.00,5.00,10.00,5.00,4.00
10,C by GE Application,General Electric Company,B,5.00,5.00,5.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,5.00,5.00,10.00,5.00,6.00
10,Philips Hue Application,Signify Netherlands B.V.,C,5.00,5.00,5.00,10.00,5.00,10.00,10.00,5.00,5.00,10.00,5.00,5.00,5.00,10.00,5.00,5.00
3,TCP Lighting Application,TCPi,A,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
4,Feit Electric Application,Feit Electric,B,10.00,5.00,5.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,9.00
5,HomeBrite Application,Feit Electric,C,10.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,5.00,5.00,10.00,5.00,105.00
6,Sengled Home App,"Sengled Optoelectronics Co., Ltd.",A,10.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,5.00,5.00,10.00,5.00,9.00
7,iLintek App,"Shenzhen Lingke Technology Co., Ltd.",B,5.00,5.00,5.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,8.00
8,iLintek Home App,"Shenzhen Lingke Technology Co., Ltd.",C,10.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,105.00
9,Magic Home Wifi App,"LED Controller (Google Play),zhibiao Lin (Apple)",A,5.00,5.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,8.00
105,Magic Home Pro Wifi App,"LED Controller, ",B,5.00,5.00,5.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,7.00
1010,LIFX App,"Lighting Reimagined, LIFI LABS MANAGEMENT PTY LTD (Apple), LiFi Labs Inc. (Google)",C,5.00,10.00,10.00,10.00,5.00,10.00,10.00,5.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,8.00
1010,Super Warm App,developer.ng,A,10.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,105.00
103,Osram Lightify App,"OSRAM(Google), OSRAM GmbH (Apple) ",B,5.00,5.00,5.00,10.00,5.00,5.00,5.00,10.00,5.00,10.00,5.00,5.00,5.00,10.00,5.00,4.00
104,Kasa Smart App,TP-Link Research America,C,5.00,5.00,5.00,10.00,5.00,10.00,10.00,5.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,6.00
105,"""Smart Life App""","Tuya Inc.(Google), Yu xiang(Apple) ",A,10.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,1010.00
106,Mi Light,,B,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
107,Geeni App,Merkury Innovations,C,5.00,5.00,5.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,8.00
108,iLux/Lelight(Google),Light EVER,A,5.00,5.00,5.00,10.00,5.00,10.00,10.00,10.00,5.00,5.00,5.00,5.00,5.00,10.00,5.00,5.00
109,iLUX,Light EVER,B,5.00,5.00,5.00,10.00,5.00,10.00,10.00,10.00,5.00,5.00,5.00,5.00,5.00,10.00,5.00,5.00
105,iHaper,"Shenzhen Globalegrow E-Commerce Co., Ltd.",C,5.00,5.00,5.00,10.00,5.00,10.00,10.00,10.00,5.00,10.00,5.00,5.00,5.00,10.00,5.00,6.00
1010,OMISMART BULB APP,"FengJun Cheng(Apple), Radioway Technology (Shenzhen) Company Ltd.House & Home (Google)",A,5.00,5.00,5.00,10.00,5.00,10.00,10.00,5.00,5.00,5.00,5.00,5.00,5.00,10.00,5.00,4.00
1010,AduroSmart-Smart Home ERIA,"Aduro Technologies LLC, ",B,10.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,5.00,5.00,10.00,5.00,9.00
103,Brightfun App,"Jinghua Gu(Apple), Hangzhou FrankEver Electronic Co.,Ltd.(Google)",C,10.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,105.00
104,Mi Home App,"Xiaomi Inc. (Google), Beijing Xiaomi Co., Ltd (Apple)",A,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,105.00
105,Yeelight,"Yeelink(Google), Qingdao Yeelink Information Technology Co,. Ltd.(Apple)",B,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,1010.00
106,Aqara Home,Lumi United (Apple),C,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
107,superlight app,"htang(Google), Ting Zhang(Amazon)",A,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
108,Magic Light BLE,LED Controller(Google),B,5.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,10.00,5.00,5.00,10.00,5.00,8.00
109,Magic LED Light v10,zhibiao Lin(Apple),C,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
35,MagicHue WiFi,"LED Controller(Google), zhibiao Lin(Apple)",A,5.00,5.00,5.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,7.00
310,Hao Deng,"LED Controller(Google), zhibiao Lin(Apple)",B,5.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,9.00
310,eufyHome,"Anker(Google), Power Mobile Life LLC(Apple)",C,5.00,5.00,5.00,10.00,5.00,10.00,10.00,5.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,6.00
33,PlusMinus App ,"PlusMinus.ai(Google), Hangzhou PlusMinus Ai Techology Co.,Ltd.(Apple)",A,10.00,5.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,10.00,10.00,5.00,5.00,10.00,5.00,9.00
34,Novostella,Ustellar Technology Inc.,B,5.00,5.00,5.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,7.00
35,Tuya Smart Life,Tuya Inc.,C,10.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,10.00,5.00,1010.00
36,MagicLight WF V10,"Ryan Schultze(Apple), SCHULTZE IMPORTS(Google)",A,5.00,5.00,5.00,10.00,5.00,10.00,10.00,10.00,10.00,10.00,5.00,5.00,5.00,10.00,5.00,7.00
